Time,NEW,SAME,EXCLUDED
02_18 - 02_43,0,677,2
02_43 - 03_18,10,670,7
03_18 - 03_38,5,678,2
03_38 - 04_19,20,671,12
04_19 - 04_37,3,688,3
04_37 - 05_16,9,678,13
05_16 - 05_38,7,678,9
05_38 - 06_21,12,678,7
06_21 - 06_37,1,687,3
06_37 - 07_15,11,676,12
07_15 - 07_38,9,679,8
07_38 - 08_20,15,675,13
08_20 - 08_38,7,683,7
08_38 - 09_16,14,673,17
09_16 - 09_37,6,680,7
09_37 - 10_18,15,669,17
10_18 - 10_38,5,676,8
10_38 - 11_13,21,666,15
11_13 - 11_38,5,684,3
11_38 - 12_32,14,672,17
12_32 - 13_19,19,670,16
13_19 - 13_38,12,681,8
13_38 - 14_15,14,680,13
14_15 - 14_38,9,682,12
14_38 - 15_17,14,672,19
15_17 - 15_37,9,679,7
15_37 - 16_21,12,669,19
16_21 - 16_39,12,670,11
16_39 - 17_14,12,671,11
17_14 - 17_37,4,675,8
17_37 - 18_20,10,662,17
18_20 - 18_38,4,669,3
18_38 - 19_13,5,664,9
19_13 - 19_38,5,665,4
19_38 - 20_17,1,662,8
20_17 - 20_38,6,657,6
20_38 - 21_14,15,650,13
21_14 - 21_38,7,658,7
21_38 - 22_16,1,657,8
22_16 - 23_16,7,648,10
23_16 - 23_37,2,647,8
23_37 - 02_18,14,631,18
02_18 - 02_42,3,639,6
02_42 - 03_17,0,637,5
03_17 - 03_37,2,634,3
03_37 - 04_19,3,626,10
04_19 - 04_37,2,628,1
04_37 - 05_15,3,623,7
05_15 - 05_38,4,623,3
05_38 - 06_20,6,622,5
06_20 - 06_37,0,626,2
06_37 - 07_14,7,617,9
07_14 - 07_38,2,612,12
07_38 - 08_19,2,594,20
08_19 - 08_38,1,588,8
08_38 - 09_14,2,577,12
09_14 - 09_38,0,571,8
09_38 - 10_16,2,555,16
10_16 - 10_37,1,551,6
10_37 - 11_13,6,540,12
11_13 - 11_37,4,537,9
11_37 - 12_30,9,529,12
12_30 - 12_51,2,528,10
12_51 - 13_17,4,519,11
13_17 - 13_38,0,511,12
13_38 - 14_14,5,500,11
14_14 - 14_37,2,491,14
14_37 - 15_16,2,479,14
15_16 - 15_37,1,472,9
15_37 - 16_20,5,454,19
16_20 - 16_38,1,455,4
16_38 - 17_16,0,447,9
17_16 - 17_37,2,439,8
17_37 - 18_19,4,428,13
18_19 - 18_38,0,426,6
18_38 - 19_12,1,422,4
19_12 - 19_37,0,418,5
19_37 - 20_17,2,409,9
20_17 - 20_37,3,406,5
20_37 - 21_13,2,399,10
21_13 - 21_37,1,394,7
21_37 - 22_15,0,389,6
22_15 - 22_37,2,388,1
22_37 - 23_16,0,384,6
23_16 - 23_38,0,380,4
23_38 - 01_34,4,370,10
01_34 - 02_34,3,371,3
02_34 - 03_17,2,372,2
03_17 - 03_37,0,371,3
03_37 - 04_19,2,352,19
04_19 - 04_37,0,352,2
04_37 - 05_37,6,341,11
05_37 - 06_20,4,342,5
06_20 - 06_38,1,345,1
06_38 - 07_15,3,339,7
07_15 - 07_38,1,336,6
07_38 - 08_19,1,319,18
08_19 - 08_38,3,314,6
08_38 - 09_14,2,309,8
09_14 - 09_37,1,305,6
09_37 - 10_16,3,294,12
10_16 - 10_38,1,292,5
10_38 - 11_13,4,275,18
11_13 - 11_37,3,269,10
11_37 - 12_30,11,259,13
12_30 - 13_17,5,256,14
13_17 - 13_38,0,254,7
13_38 - 14_14,2,240,14
14_14 - 14_38,3,234,8
14_38 - 15_16,4,225,12
15_16 - 15_37,6,223,6
15_37 - 16_20,6,211,18
16_20 - 16_38,2,208,9
16_38 - 17_13,1,200,10
17_13 - 17_37,1,197,4
17_37 - 18_19,1,190,8
18_19 - 18_37,3,187,4
18_37 - 19_12,1,185,5
19_12 - 19_37,2,181,5
19_37 - 20_16,4,174,9
20_16 - 20_37,2,164,14
20_37 - 21_15,3,156,10
21_15 - 21_38,4,154,5
21_38 - 22_15,7,153,5
22_15 - 22_38,1,157,3
22_38 - 23_16,7,155,3
23_16 - 23_37,4,158,4
23_37 - 01_26,15,150,12
01_26 - 02_26,15,157,8
02_26 - 02_47,5,170,2
02_47 - 03_17,9,170,5
03_17 - 03_38,6,175,4
03_38 - 04_20,12,175,6
04_20 - 04_38,2,185,2
04_38 - 05_15,8,184,3
05_15 - 05_37,4,190,2
05_37 - 06_22,8,185,9
06_22 - 06_38,3,192,1
06_38 - 07_17,13,191,4
07_17 - 07_37,9,199,5
07_37 - 08_21,14,201,7
08_21 - 08_37,2,214,1
08_37 - 09_17,19,210,6
09_17 - 09_38,4,226,3
09_38 - 10_18,9,224,6
10_18 - 10_38,5,231,2
10_38 - 11_14,14,230,6
11_14 - 11_37,10,241,3
11_37 - 12_35,15,236,15
12_35 - 13_20,22,243,8
13_20 - 13_38,10,261,4
13_38 - 14_16,16,263,8
14_16 - 14_37,10,276,3
14_37 - 15_17,19,279,7
15_17 - 15_38,11,291,7
15_38 - 16_22,19,293,9
16_22 - 16_40,2,308,4
16_40 - 17_15,15,307,3
17_15 - 17_37,4,321,1
17_37 - 18_20,9,320,5
18_20 - 18_37,1,328,1
18_37 - 19_13,9,326,3
19_13 - 19_38,4,334,1
19_38 - 20_17,16,334,4
20_17 - 20_37,6,347,3
20_37 - 21_14,15,349,4
21_14 - 21_37,4,362,2
21_37 - 22_15,9,362,4
22_15 - 22_38,11,370,1
22_38 - 23_16,5,381,0
23_16 - 23_37,3,386,0
23_37 - 01_25,17,380,9
01_25 - 02_24,10,391,6
02_24 - 02_45,4,398,3
02_45 - 03_17,7,399,3
03_17 - 03_37,5,405,1
03_37 - 04_20,14,408,2
04_20 - 04_38,11,419,3
04_38 - 05_16,11,421,9
05_16 - 05_37,2,432,0
05_37 - 06_21,13,426,8
06_21 - 06_38,2,439,0
06_38 - 07_16,14,434,7
07_16 - 07_37,8,446,2
07_37 - 08_21,11,447,7
08_21 - 08_38,6,455,3
